순번,분전함번호,표찰번호,행정동,법정동,리,지번,위도,경도,램프종류1,램프용량1,등수1,램프종류2,램프용량2,등수2,램프종류3,램프용량3,등수3,보행등종류,보행등용량,보행등기구,보행등수,총등수,설치일자,지번 주소
1,#1,#1-1,중앙동,봉래동,,247-17,35.19868453034053,128.08241482239794,LED,100W,1,,,0,,,0,,,,0,1,2019-12-20,경상남도 진주시 봉래동 247-17
2,#1,#1-2,상봉동,상봉동,,987-3,35.198796341757664,128.08209005721895,LED,100W,1,,,0,,,0,,,,0,1,2019-12-20,경상남도 진주시 상봉동 987-3
3,#1,#1-3,상봉동,상봉동,,987-3,35.19906325262998,128.08223948340225,LED,100W,1,,,0,,,0,,,,0,1,2019-12-20,경상남도 진주시 상봉동 987-3
4,#1,#1-4,중앙동,봉래동,,225-1,35.1991715949685,128.08198699627798,LED,100W,1,,,0,,,0,,,,0,1,2019-12-20,경상남도 진주시 봉래동 225-1
5,#1,#1-5,중앙동,봉래동,,223,35.19935282818049,128.08209743852555,LED,100W,1,,,0,,,0,,,,0,1,2019-12-20,경상남도 진주시 봉래동 223
6,#1,#1-6,중앙동,봉래동,,221-10,35.19955030189793,128.08183361915792,LED,100W,1,,,0,,,0,,,,0,1,2019-12-20,경상남도 진주시 봉래동 221-10
7,#1,#1-7,상봉동,상봉동,,1423-7,35.19973947119466,128.0820314920147,LED,100W,1,,,0,,,0,,,,0,1,2019-12-20,경상남도 진주시 상봉동 1423-7
8,#1,#1-8,상봉동,상봉동,,159-1,35.19992095086736,128.08181124775575,LED,100W,1,,,0,,,0,,,,0,1,2019-12-20,경상남도 진주시 상봉동 159-1
9,#1,#1-9,중앙동,봉래동,,159-1,35.200054959595946,128.08205377157935,LED,100W,1,,,0,,,0,,,,0,1,2019-12-20,경상남도 진주시 봉래동 159-1
10,#1,#1-10,상봉동,상봉동,,1422-1,35.20029874050094,128.08189586622325,LED,100W,1,,,0,,,0,,,,0,1,2019-12-20,경상남도 진주시 상봉동 1422-1
11,#1,#1-11,중앙동,봉래동,,159-1,35.20041400683736,128.08210876957153,LED,100W,1,,,0,,,0,,,,0,1,2019-12-20,경상남도 진주시 봉래동 159-1
12,#1,#1-12,상봉동,상봉동,,987-1,35.200620377207926,128.0819605248105,LED,100W,1,,,0,,,0,,,,0,1,2019-12-20,경상남도 진주시 상봉동 987-1
13,#1,#1-13,중앙동,봉래동,,158-8,35.20073095650941,128.0821752544827,LED,100W,1,,,0,,,0,,,,0,1,2019-12-20,경상남도 진주시 봉래동 158-8
14,#1,#1-14,상봉동,상봉동,,987-1,35.200881330545364,128.08200790817995,LED,100W,1,,,0,,,0,,,,0,1,2019-12-20,경상남도 진주시 상봉동 987-1
15,#2,#2-1,중앙동,평안동,,104,35.19699486370435,128.08196459820056,LED,120W,1,LED,50W,1,,,0,,,,0,2,2019-12-20,경상남도 진주시 평안동 104
16,#2,#2-2,중앙동,평안동,,104,35.19708186775794,128.08231436866998,LED,120W,1,LED,50W,1,,,0,,,,0,2,2019-12-20,경상남도 진주시 평안동 104
17,#2,#2-3,중앙동,평안동,,195,35.19714290831015,128.08265488543384,LED,130W,1,LED,130W,1,,,0,,,,0,2,2010-07-31,경상남도 진주시 평안동 195
18,#2,#2-4,중앙동,평안동,,104,35.197422420927616,128.08255632662747,LED,130W,1,LED,130W,1,,,0,,,,0,2,2010-07-31,경상남도 진주시 평안동 104
19,#2,#2-5,중앙동,평안동,,104,35.197476269154315,128.08290781042885,LED,130W,1,LED,130W,1,,,0,,,,0,2,2010-07-31,경상남도 진주시 평안동 104
20,#2,#2-6,중앙동,평안동,,104,35.19722940163006,128.08295042497275,LED,130W,1,LED,130W,1,,,0,,,,0,2,2010-07-31,경상남도 진주시 평안동 104
21,#2,#2-7,중앙동,평안동,,104,35.19678201559577,128.0828374314538,LED,120W,1,LED,50W,1,,,0,,,,0,2,2010-07-31,경상남도 진주시 평안동 104
22,#2,#2-8,중앙동,평안동,,195,35.19633136827707,128.08301647718596,LED,120W,1,LED,50W,1,,,0,,,,0,2,2010-07-31,경상남도 진주시 평안동 195
23,#2,#2-9,중앙동,평안동,,195,35.19574528399492,128.08323552488358,LED,120W,1,LED,50W,1,,,0,,,,0,2,2010-07-31,경상남도 진주시 평안동 195
24,#2,#2-10,중앙동,평안동,,198,35.195312488774114,128.0833888335672,LED,120W,1,LED,50W,1,,,0,,,,0,2,2010-07-31,경상남도 진주시 평안동 198
25,#2,#2-11,중앙동,대안동,,16-1,35.1949337946505,128.08352023187706,LED,120W,1,LED,50W,1,,,0,,,,0,2,2010-07-31,경상남도 진주시 대안동 16-1
26,#2,#2-12,중앙동,대안동,,15-1,35.19446491890436,128.08370644617267,LED,120W,1,LED,50W,1,,,0,,,,0,2,2010-07-31,경상남도 진주시 대안동 15-1
27,#3,#3-2,중앙동,대안동,,6-10,35.19518343028805,128.08370832405856,LED,120W,1,LED,50W,1,,,0,,,,0,2,2010-07-31,경상남도 진주시 대안동 6-10
28,#3,#3-3,중앙동,대안동,,6-10,35.195663824281404,128.08371864769708,LED,120W,1,,,0,,,0,,,,0,1,2010-07-31,경상남도 진주시 대안동 6-10
29,#3,#3-4,중앙동,대안동,,5-5,35.19565565438838,128.0835636231592,LED,120W,1,LED,50W,1,,,0,,,,0,2,2010-07-31,경상남도 진주시 대안동 5-5
30,#3,#3-5,중앙동,평안동,,104,35.196006438320396,128.08339260327773,LED,120W,1,LED,50W,1,,,0,,,,0,2,2010-07-31,경상남도 진주시 평안동 104
31,#3,#3-6,중앙동,평안동,,104,35.19644273710426,128.08323369727762,LED,120W,1,,,0,,,0,,,,0,1,2010-07-31,경상남도 진주시 평안동 104
32,#3,#3-7,중앙동,평안동,,104,35.196989849125835,128.0830295955303,LED,120W,1,LED,50W,1,,,0,,,,0,2,2010-07-31,경상남도 진주시 평안동 104
33,#4,#4-1,중앙동,동성동,,17,35.1927047633984,128.0834667946509,LED,120W,1,LED,50W,1,,,0,,,,0,2,2010-07-31,경상남도 진주시 동성동 17
34,#4,#4-2,중앙동,동성동,,17,35.19287558340622,128.08401803698325,LED,120W,1,LED,50W,1,,,0,,,,0,2,2010-07-31,경상남도 진주시 동성동 17
35,#4,#4-3,중앙동,동성동,,9-13,35.19286904823067,128.08417702998108,LED,50W,1,LED,50W,1,,,0,,,,0,2,2010-07-31,경상남도 진주시 동성동 9-13
36,#4,#4-4,중앙동,동성동,,9-13,35.19285095887299,128.08426486394075,LED,50W,1,LED,50W,1,,,0,,,,0,2,2019-12-20,경상남도 진주시 동성동 9-13
37,#4,#4-5,중앙동,동성동,,9-1,35.19278782785437,128.08430872549232,LED,120W,1,LED,50W,1,,,0,,,,0,2,2019-12-20,경상남도 진주시 동성동 9-1
38,#4,#4-6,중앙동,동성동,,9-4,35.19246318852401,128.08448409698178,LED,120W,1,LED,50W,1,,,0,,,,0,2,2010-07-31,경상남도 진주시 동성동 9-4
39,#4,#4-7,중앙동,동성동,,12-4,35.19203939827952,128.08464838362218,LED,150W,1,LED,50W,1,,,0,,,,0,2,2010-07-31,경상남도 진주시 동성동 12-4
40,#4,#4-8,중앙동,동성동,,13-1,35.191615,128.084812,LED,120W,1,LED,50W,1,,,0,,,,0,2,2010-07-31,경상남도 진주시 동성동 13-1
41,#4,#4-11,중앙동,동성동,,5-9,35.19189495456412,128.08495571505708,LED,120W,1,LED,50W,1,,,0,,,,0,2,2010-07-31,경상남도 진주시 동성동 5-9
42,#4,#4-12,중앙동,동성동,,5-4,35.192336766380954,128.0848024303611,LED,120W,1,LED,50W,1,,,0,,,,0,2,2010-07-31,경상남도 진주시 동성동 5-4
